OTUID	All	CW	OW	PW
ASV_3316	0.045738	0.001100448	0.107891714	0.028223325
ASV_8462	0.051336	0.04158231	0.02928584	0.08313975
ASV_686	0.054575	0.09279363	0.04799593	0.02293539
ASV_543	0.048401	0.07593022	0.02142014	0.04785244
ASV_442	0.052574	0.06641975	0.05671741	0.03458357
ASV_564	0.045558	0.05125173	0.06867369	0.01674934
ASV_1245	0.047205	0.122176253	0.006765343	0.012673494
ASV_401	0.044808	0.03365860	0.03290537	0.06786128
ASV_685	0.083233	0.0000000	0.2496993	0.0000000
ASV_370	0.047469	0.03444044	0.05778515	0.05018111
ASV_362	0.049614	0.0002369231	0.0001202918	0.1484841841
ASV_596	0.049801	0.0142279015	0.0007812549	0.1343928513
ASV_430	0.050624	0.077849739	0.002751393	0.071270858
ASV_1130	0.037311	0.0000000	0.1119337	0.0000000
ASV_608	0.052526	0.09745815	0.02788770	0.03223121
ASV_331	0.048624	0.03012521	0.10280293	0.01294382
ASV_1744	0.053293	0.07861409	0.05836288	0.02290087
ASV_474	0.049152	0.01608811	0.02850583	0.10286284
ASV_495	0.051379	0.106900647	0.039191062	0.008045712
ASV_505	0.046651	0.01834397	0.05377350	0.06783586
ASV_727	0.046849	0.0008151895	0.1199205941	0.0198124842
ASV_611	0.047375	0.07049173	0.01995121	0.05168171
ASV_398	0.047652	0.04386483	0.04218805	0.05690420
ASV_126	0.054354	0.104424439	0.006288692	0.052349392
ASV_1207	0.052712	0.05478535	0.04110416	0.06224666
ASV_451	0.048037	0.06202674	0.03954668	0.04253747
ASV_811	0.036846	0.072538927	0.003543079	0.034456058
ASV_233	0.048347	0.002234255	0.003121250	0.139685618
ASV_234	0.046371	0.034311477	0.001406259	0.103395487
ASV_323	0.041693	0.06782635	0.02197937	0.03527444
ASV_2793	0.049825	0.03784835	0.03133366	0.08029153
ASV_489	0.04476	0.04093202	0.02211025	0.07123911
ASV_428	0.042162	0.08492362	0.01298749	0.02857508
ASV_1300	0.035829	0.0000000	0.1074869	0.0000000
ASV_700	0.03809	0.04831057	0.04177382	0.02418638
ASV_698	0.051797	0.03555806	0.07979252	0.04003897
ASV_170	0.04973	0.046309543	0.098479824	0.004399514
ASV_356	0.041973	0.001680931	0.000000000	0.124239550
ASV_334	0.056411	0.01736906	0.10690696	0.04495737
ASV_913	0.047698	0.040156300	0.001823772	0.101112527
ASV_395	0.047764	0.07755920	0.03261050	0.03312099
ASV_261	0.040165	0.009149125	0.037066700	0.074279551
ASV_886	0.04308	0.08946066	0.02431445	0.01546528
ASV_687	0.032636	0.012475841	0.009870014	0.075561482
ASV_471	0.056078	0.08780668	0.03880808	0.04161865
ASV_760	0.046662	0.06084491	0.02053236	0.05860975
ASV_15	0.036108	0.0991684619	0.0084561102	0.0006989879
ASV_139	0.042028	0.01356441	0.08128826	0.03123084
ASV_411	0.041671	0.0016952834	0.0009375059	0.1223795019
ASV_688	0.040406	0.0005108400	0.0002605388	0.1204474450
ASV_310	0.041367	0.04106123	0.05181505	0.03122363
ASV_400	0.036495	0.0000000	0.0000000	0.1094859
ASV_314	0.040784	0.01319261	0.05842170	0.05073633
ASV_154	0.038254	0.072302058	0.009037078	0.033422244
ASV_364	0.041471	0.01442575	0.06016535	0.04982114
ASV_425	0.041725	0.05810408	0.02346145	0.04360876
ASV_507	0.044711	0.03833191	0.03320985	0.06259213
ASV_788	0.042021	0.04034987	0.06914892	0.01656447
ASV_535	0.049636	0.03322309	0.03752664	0.07815903
ASV_550	0.037235	0.049260740	0.005468784	0.056975079
ASV_503	0.040808	0.06859075	0.05232186	0.00151043
ASV_1370	0.0333	0.00000000	0.09989905	0.00000000
ASV_443	0.041252	0.01877824	0.02037925	0.08459869
ASV_650	0.040084	0.043914682	0.002860849	0.073477932
ASV_1001	0.035756	0.102773833	0.002212261	0.002282100
ASV_945	0.046486	0.02241601	0.05062463	0.06641738
ASV_237	0.039931	0.04211432	0.03708892	0.04059090
ASV_691	0.060805	0.179485025	0.002930995	0.000000000
ASV_572	0.040707	0.03774917	0.03365648	0.05071499
ASV_478	0.037642	0.01509072	0.02075728	0.07707876
ASV_690	0.04126	0.02929285	0.04740300	0.04708524
ASV_786	0.035556	0.0004965648	0.1046472153	0.0015240945
ASV_212	0.056824	0.05161302	0.05364362	0.06521400
ASV_1137	0.036172	0.037286887	0.002500016	0.068728246
ASV_738	0.042475	0.001288158	0.126135535	0.000000000
ASV_294	0.042253	0.009047606	0.031800910	0.085911391
ASV_694	0.034263	0.002553534	0.000000000	0.100235663
ASV_1169	0.041819	0.003542035	0.120634024	0.001279921
ASV_565	0.041312	0.004607698	0.000000000	0.119327321
ASV_445	0.04014	0.05153640	0.02541422	0.04346855
ASV_594	0.05794	0.001760478	0.172058411	0.000000000
ASV_2718	0.038974	0.00000000	0.03296896	0.08395342
ASV_866	0.037253	0.04260406	0.03767480	0.03148066
ASV_299	0.045053	0.06093487	0.01420815	0.06001713
ASV_939	0.032466	0.00000000	0.08011433	0.01728290
